Year,Industry_aggregation_NZSIOC,Industry_code_NZSIOC,Industry_name_NZSIOC,Units,Variable_code,Variable_name,Variable_category,Value,Industry_code_ANZSIC06
2015,Level 1,99999,All industries  ,Dollars (millions),H01,Total income,Financial performance,590050,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2015,Level 1,99999,All industries  ,Dollars (millions),H02,Sales of goods not further processed,Financial performance,0,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2015,Level 1,99999,All industries  ,Dollars (millions),H03,Sales of other goods and services,Financial performance,0,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2015,Level 1,99999,All industries  ,Dollars (millions),H04,"Sales, government funding, grants and subsidies",Financial performance,518885,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2015,Level 1,99999,All industries  ,Dollars (millions),H05,"Interest, dividends and donations",Financial performance,53898,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2015,Level 1,99999,All industries  ,Dollars (millions),H06,"Government funding, grants and subsidies",Financial performance,0,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2015,Level 1,99999,All industries  ,Dollars (millions),H07,Non-operating income,Financial performance,17266,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2015,Level 1,99999,All industries  ,Dollars (millions),H08,Total expenditure,Financial performance,528163,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2015,Level 1,99999,All industries  ,Dollars (millions),H09,Interest and donations,Financial performance,38141,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2015,Level 1,99999,All industries  ,Dollars (millions),H10,Indirect taxes,Financial performance,6438,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
